userId	courseId	starCount	timestamp
2221478	944	5	1519228800
6353530	944	5	1518883200
1197552	946	5	1519747200
4204226	783	5	1519833600
2775808	783	5	1514304000
2244581	949	4	1519747200
6422187	949	5	1519660800
1079683	942	5	1519833600
5293230	942	5	1519488000
5716571	942	5	1519401600
1925226	942	5	1519315200
6386908	942	5	1518364800
3164558	942	5	1517241600
1032661	948	5	1519401600
3233775	948	4	1518796800
2725673	948	5	1518796800
1925226	931	5	1519315200
5716571	931	5	1519228800
5650233	931	4	1518537600
6358902	931	1	1518364800
5574551	931	4	1517500800
6326794	931	5	1517068800
2177439	931	3	1516291200
3178672	931	5	1516118400
3230160	931	5	1515686400
2357485	931	5	1515427200
3685045	945	5	1519660800
2136132	945	5	1519488000
5369098	945	5	1519315200
3015185	945	5	1517932800
2317883	934	2	1519833600
2412096	934	5	1519228800
6202064	934	5	1516982400
5632911	934	5	1516809600
4963854	934	5	1515513600
1366437	937	5	1518451200
3549453	937	5	1516550400
3736356	937	5	1516118400
3471829	935	5	1519488000
261464	935	4	1519401600
5773533	935	5	1519315200
2185173	935	5	1518537600
2951777	935	5	1518364800
3490213	935	5	1518192000
5750330	935	5	1518105600
3086908	935	5	1517846400
2556863	935	5	1517587200
5500034	935	5	1517068800
2446397	935	5	1516982400
441269	935	5	1516723200
2050942	935	5	1516636800
1012609	935	5	1516550400
5603310	935	5	1516291200
3164558	935	5	1516291200
4044602	936	5	1519660800
3561503	936	5	1517673600
3055737	936	5	1517241600
6338030	936	5	1517155200
6227341	936	5	1516636800
4089652	936	5	1516550400
2422052	936	5	1516032000
1250323	908	4	1513699200
269013	947	5	1519833600
3400019	947	5	1519833600
4033529	947	5	1519747200
1004255	947	5	1519488000
283266	947	5	1519401600
1086972	947	5	1519401600
3164558	947	5	1519315200
5393020	947	5	1518969600
1314320	947	5	1518883200
2153778	947	5	1518624000
2116935	951	5	1519747200
2106110	933	5	1519660800
5680927	933	5	1519574400
3593193	933	5	1519315200
2522756	933	5	1518278400
1352037	933	5	1517932800
5482041	933	5	1517932800
5499520	933	5	1517587200
