userName,commentContent,createTime,courseId,courseName
SuperMargin,感谢老师分享的课程,2017-02-08,642,玩儿转Swift 2.0（第二季）
WDavid,@liuyubobobo 哥们支持出第5季节哈。函数式编程和面向接口编程讲一些更加深入的东西吧，真心感谢,2017-02-05,642,玩儿转Swift 2.0（第二季）
WDavid,推荐本书 。函数式swift 安道夫写的，如果觉得函数式编程还要深入学的话,2017-02-05,642,玩儿转Swift 2.0（第二季）
yzr_sync,swift真的很灵活,2017-02-05,642,玩儿转Swift 2.0（第二季）
yzr_sync,课件做得非常好,2017-02-05,642,玩儿转Swift 2.0（第二季）
yzr_sync,Apple这帮开发的脑子真好使,2017-02-04,642,玩儿转Swift 2.0（第二季）
反贪局局长,Bootstrip......,2017-09-06,826,bootstrap快速入门
幕布斯7576800,好，不错，棒,2017-09-05,826,bootstrap快速入门
精慕门2078019,小哥哥讲的好棒,2017-09-03,826,bootstrap快速入门
渣臻,刘明。。。。。,2017-09-02,826,bootstrap快速入门
Infor,"href写个#算了,这个广告浪费时间",2017-09-01,826,bootstrap快速入门
蓦然回首123你已走,"<div class=""panel panel-success"">",2017-09-01,826,bootstrap快速入门
Infor,"<button class=""btn btn-warning disabled"">按钮</button>",2017-09-01,826,bootstrap快速入门
慕仰5091355,nice 看完了，继续深造~~,2017-08-31,826,bootstrap快速入门
qq_有梦为马_0,不清楚.....,2017-08-31,826,bootstrap快速入门
小思3,能不能教我打鱼的方法呢，太局限了,2017-08-30,826,bootstrap快速入门
南柑北橘,为啥有的图标可以显示 有的图标显示就是一个框框,2017-08-28,826,bootstrap快速入门
qq_沈沈_0,不是我纯心吐槽挑骨头啥的。这老师照着自己写的代码读了两遍都没能看出来warning和form都写错了？难道是手上拿着在读？,2017-08-26,826,bootstrap快速入门
qq_沈沈_0,感觉Bootstrap会用就行了，对响应式有个了解，你把类名都背下来咋不上天呢,2017-08-26,826,bootstrap快速入门
蘇小小,为什么PC端没有播放速度设置？,2017-08-26,826,bootstrap快速入门
莨菽菽,这么方便。。那之后找个bootstrap的参考手册，一下子就能开发出好看的网页了。真是福音。本来还不想学前端框架来着。。,2017-08-25,826,bootstrap快速入门
小董君同学,Demo演示地址：https://taosang1992.github.io/Javascript-Demo/clock.html,2017-04-12,612,Canvas 绘制时钟
小董君同学,var canvas = document.getElementById('clock');,2017-04-12,612,Canvas 绘制时钟
Yxhsea,源代码：https://github.com/BlueSimle/canvas_clock,2017-04-10,612,Canvas 绘制时钟
Yxhsea,源代码：https://github.com/BlueSimle/canvas_clock,2017-04-10,612,Canvas 绘制时钟
zyz小白,老师讲得很详细，要是这里面的老师都这样该多好。,2017-04-09,612,Canvas 绘制时钟
短发是小丸子,ko层吧  哈哈哈 老师说话真萌,2017-04-05,612,Canvas 绘制时钟
吥願蔣僦,凡是没显示时钟的，肯定是var width = dom.width;var height = dom.height;这里写错了。这个dom是你定义canvas的id的变量。,2017-04-05,612,Canvas 绘制时钟
夏不语冰,很好很好 老师很耐心,2017-04-03,612,Canvas 绘制时钟
慕粉3704892,思路不错，已经实践了！谢谢，就是英语读的不标准,2017-04-01,612,Canvas 绘制时钟
陈志瀮,数学都忘完了,2017-04-01,612,Canvas 绘制时钟
qq_岩蔷薇_0,哪里可以找到这个视频的源代码,2017-03-29,612,Canvas 绘制时钟
茜茜sx,学了一节数学,2017-03-29,612,Canvas 绘制时钟
